Price,Size,Zip_Code,Type_Property,Status_Property,Status_Rent,City
899950,37505,NW3 1RX,Apartment,Old,Rented,Natal
330000,37475,W3 6DR,House With Backyard,Old,Empty,Natal
230000,37270,SW6 2RX,Apartment,Old,Rented,Natal
178000,37596,CR0 9LQ,Penthouse Apartment,Old,Empty,Fortaleza
180000,37396,SE27 9AW,House With Backyard,Old,Empty,Natal
130000,37293,SW15 1HJ,Apartment,Old,Rented,Natal
299950,37575,SW11 3AB,Apartment,Old,Rented,Natal
85000,37329,N15 6UL,Apartment,New,Rented,Natal
280000,37476,W4 2HD,Apartment,Old,Rented,Natal
160000,37474,N8 7PG,Apartment,Old,Rented,Natal
157000,37386,CR0 9LQ,Penthouse Apartment,Old,Empty,Fortaleza
347000,37468,NW5 2JD,Apartment,Old,Rented,Natal
8000,39276,EN4 8HQ,Other,Old,Empty,Recife
350000,39435,E1 1NE,Apartment,Old,Rented,Natal
233000,39094,N8 7PG,Apartment,Old,Rented,Natal
375000,39002,SW5 9LA,Apartment,Old,Rented,Natal
375000,38796,SE4 2AB,Penthouse Apartment,Old,Empty,Natal
344000,39020,SW11 3AB,Apartment,Old,Rented,Natal
108000,38789,N15 6UL,Apartment,Old,Rented,Natal
235000,38814,SW9 0LL,Apartment,Old,Rented,Natal
250000,39031,EC2A 4QS,Apartment,Old,Rented,Natal
360000,38828,RM14 1XW,House With Backyard,Old,Empty,Belo Horizonte
210000,39072,N8 7PG,Apartment,Old,Rented,Natal
230000,38828,TW8 0PF,Apartment,Old,Rented,Blumenau
103600,38763,CR7 7BB,Apartment,Old,Rented,Palmas
233500,39028,CR0 9LQ,House without Backyard,Old,Empty,Fortaleza
155000,38775,N17 6XX,Apartment,Old,Rented,Natal
489500,38979,EN2 6SY,Apartment,New,Rented,Salvador
224950,38975,N8 7PG,Apartment,Old,Rented,Natal
187500,38996,BR3 5NP,Apartment,Old,Rented,Teresina
210000,36455,W14 0NS,Apartment,Old,Rented,Natal
85000,36376,N8 7PG,Apartment,Old,Rented,Natal
190000,36231,TW9 1LX,House With Backyard,Old,Empty,Osasco
86000,36371,TW8 0PF,Apartment,Old,Rented,Blumenau
250000,38329,W11 4RS,Apartment,Old,Rented,Natal
183000,38142,SM3 9LS,Penthouse Apartment,Old,Empty,Londrina
695000,38125,SW10 9AH,Apartment,Old,Empty,Natal
100000,38037,CR7 7BB,Apartment,Old,Rented,Palmas
195000,38145,RM7 8HH,Penthouse Apartment,Old,Empty,Canoas
150000,38184,N8 7PG,Apartment,Old,Rented,Natal
330000,38121,E14 5SH,Apartment,Old,Rented,Natal
225000,38125,EC2A 4QS,Apartment,Old,Rented,Natal
166000,38219,N8 7PG,Apartment,Old,Rented,Natal
330000,38100,SW5 9UD,Apartment,Old,Rented,Natal
87500,38085,DA16 1AR,Apartment,Old,Rented,Suzano
150000,38442,KT3 3TD,Apartment,Old,Rented,Barueri
295000,38530,W14 0NS,Apartment,Old,Rented,Natal
343790,38663,W14 0NS,Apartment,Old,Rented,Natal
190000,38636,N8 7PG,Apartment,Old,Rented,Natal
165000,38611,N4 1DE,Apartment,Old,Rented,Natal
655000,38504,EC1V 1JB,Apartment,Old,Empty,Natal
300000,38656,SW6 2TZ,Apartment,Old,Rented,Natal
172000,38532,E17 7AL,Apartment,New,Rented,Natal
400000,38642,W1W 7LS,Apartment,Old,Rented,Natal
204000,38453,SW18 3AG,Apartment,Old,Rented,Natal
499950,39115,SW6 2GZ,Apartment,New,Rented,Natal
390000,39241,SE4 2DD,Penthouse Apartment,Old,Empty,Natal
244950,39227,N8 7PG,Apartment,Old,Rented,Natal
315150,39381,EC2A 4QS,Apartment,Old,Rented,Natal
299950,37855,SW5 9PF,Apartment,Old,Rented,Natal
145000,37845,SW7 5QX,Apartment,Old,Rented,Natal
195000,37634,DA7 4SS,Penthouse Apartment,Old,Empty,Uberaba
230000,37750,SW6 2RX,Apartment,Old,Rented,Natal
170000,37663,N8 7PG,Apartment,Old,Rented,Natal
357500,37627,CR3 0DH,House With Backyard,Old,Empty,Araraquara
235000,37721,NW8 7NG,Apartment,Old,Rented,Natal
1460000,37977,W2 3QG,Penthouse Apartment,Old,Empty,Natal
195000,37683,CR0 9LQ,House without Backyard,Old,Empty,Fortaleza
197000,37932,W14 8HU,Apartment,Old,Rented,Natal
250000,36909,N7 6JP,Penthouse Apartment,Old,Empty,Natal
350000,36909,SW5 0PL,Apartment,Old,Rented,Natal
250000,36980,W14 0NS,Apartment,Old,Rented,Natal
119950,37155,N8 7PG,Apartment,Old,Rented,Natal
167500,37006,NW8 7NG,Apartment,Old,Rented,Natal
505000,42864,CR5 1EY,House without Backyard,Old,Empty,Linhares
628000,43090,SE7 8FF,House without Backyard,Old,Empty,Natal
430000,42894,TW7 6EL,Apartment,Old,Rented,Brusque
270000,42894,TW7 6EL,Apartment,Old,Rented,Brusque
12500,42916,N4 3EF,Other,Old,Rented,Natal
265000,42879,SE1 4NX,Other,Old,Rented,Natal
2030000,42949,NW2 2DW,Other,Old,Empty,Natal
91000,43028,RM3 7PH,Other,Old,Empty,Canoas
141000,43069,RM3 7PH,Other,Old,Empty,Canoas
215000,36419,SW6 2TZ,Apartment,Old,Rented,Natal
202500,36280,SW5 9UD,Apartment,Old,Rented,Natal
240000,36497,SE24 9JU,Penthouse Apartment,Old,Empty,Natal
110000,36362,HA5 5NE,Penthouse Apartment,Old,Empty,Canoas
79000,36308,RM8 1UU,Penthouse Apartment,Old,Empty,Canoas
580000,43244,UB3 2RP,House without Backyard,Old,Empty,Canoas
265000,43426,TW5 9SY,Apartment,Old,Rented,Canoas
300000,43375,N19 5NJ,Apartment,Old,Rented,Natal
285000,43453,EN1 3LF,Apartment,Old,Rented,Salvador
460000,43114,N4 1AZ,Apartment,Old,Rented,Natal
